"file","year","month","tmax","tmin","ppt"
"tmax_4kmM2_198707","1987","07",33.3472726995295,NA,NA
"tmax_4kmM2_198708","1987","08",31.1627271825617,NA,NA
"tmax_4kmM2_198709","1987","09",26.7463637265292,NA,NA
"tmax_4kmM2_198710","1987","10",18.6309093128551,NA,NA
"tmax_4kmM2_198711","1987","11",15.9763636155562,NA,NA
"tmax_4kmM2_198712","1987","12",9.11181822690097,NA,NA
"tmax_4kmM2_198801","1988","01",3.74090907790444,NA,NA
"tmax_4kmM2_198802","1988","02",8.00545458360152,NA,NA
"tmax_4kmM2_198803","1988","03",14.2300000624223,NA,NA
"tmax_4kmM2_198804","1988","04",17.8363637057218,NA,NA
"tmax_4kmM2_198805","1988","05",24.1872725053267,NA,NA
"tmax_4kmM2_198806","1988","06",29.6645455793901,NA,NA
"tmax_4kmM2_198807","1988","07",33.4509086608887,NA,NA
"tmax_4kmM2_198808","1988","08",32.0845454822887,NA,NA
"tmax_4kmM2_198809","1988","09",25.5727272033691,NA,NA
"tmax_4kmM2_198810","1988","10",17.8972726301713,NA,NA
"tmax_4kmM2_198811","1988","11",14.4890910061923,NA,NA
"tmax_4kmM2_198812","1988","12",8.47272708199241,NA,NA
"tmax_4kmM2_198901","1989","01",8.41818176616322,NA,NA
"tmax_4kmM2_198902","1989","02",7.78363635323264,NA,NA
"tmax_4kmM2_198903","1989","03",12.1481820019809,NA,NA
"tmax_4kmM2_198904","1989","04",18.3127271478826,NA,NA
"tmax_4kmM2_198905","1989","05",22.6854546286843,NA,NA
"tmax_4kmM2_198906","1989","06",29.2927273837003,NA,NA
"tmax_4kmM2_198907","1989","07",30.180909243497,NA,NA
"tmax_4kmM2_198908","1989","08",28.9700003537265,NA,NA
"tmax_4kmM2_198909","1989","09",26.6154545870694,NA,NA
"tmax_4kmM2_198910","1989","10",21.2872727134011,NA,NA
"tmax_4kmM2_198911","1989","11",13.7827274149114,NA,NA
"tmax_4kmM2_198912","1989","12",1.64181817661632,NA,NA
"tmax_4kmM2_199001","1990","01",11.0900000658902,NA,NA
"tmax_4kmM2_199002","1990","02",13.0354544032704,NA,NA
"tmax_4kmM2_199003","1990","03",15.633636301214,NA,NA
"tmax_4kmM2_199004","1990","04",19.377272865989,NA,NA
"tmax_4kmM2_199005","1990","05",22.8472725261341,NA,NA
"tmax_4kmM2_199006","1990","06",29.3536363081499,NA,NA
"tmax_4kmM2_199007","1990","07",31.1518180153587,NA,NA
"tmax_4kmM2_199008","1990","08",28.8827271894975,NA,NA
"tmax_4kmM2_199009","1990","09",25.8754542957653,NA,NA
"tmax_4kmM2_199010","1990","10",22.6109092018821,NA,NA
"tmax_4kmM2_199011","1990","11",17.339090867476,NA,NA
"tmax_4kmM2_199012","1990","12",11.6290909160267,NA,NA
"tmax_4kmM2_199101","1991","01",7.65454548055475,NA,NA
"tmax_4kmM2_199102","1991","02",11.464545510032,NA,NA
"tmax_4kmM2_199103","1991","03",14.087272644043,NA,NA
"tmax_4kmM2_199104","1991","04",20.191817890514,NA,NA
"tmax_4kmM2_199105","1991","05",28.3036362041127,NA,NA
"tmax_4kmM2_199106","1991","06",30.2763638929887,NA,NA
"tmax_4kmM2_199107","1991","07",32.4727276888761,NA,NA
"tmax_4kmM2_199108","1991","08",31.6036363081499,NA,NA
"tmax_4kmM2_199109","1991","09",27.0590910478072,NA,NA
"tmax_4kmM2_199110","1991","10",21.4145455793901,NA,NA
"tmax_4kmM2_199111","1991","11",13.9781818389893,NA,NA
"tmax_4kmM2_199112","1991","12",10.5445455204357,NA,NA
"tmax_4kmM2_199201","1992","01",7.82000004161488,NA,NA
"tmax_4kmM2_199202","1992","02",9.6381818597967,NA,NA
"tmax_4kmM2_199203","1992","03",11.8399998057972,NA,NA
"tmax_4kmM2_199204","1992","04",18.5172726024281,NA,NA
"tmax_4kmM2_199205","1992","05",22.3018179806796,NA,NA
"tmax_4kmM2_199206","1992","06",27.1827272935347,NA,NA
"tmax_4kmM2_199207","1992","07",30.660909132524,NA,NA
"tmax_4kmM2_199208","1992","08",28.1327270161022,NA,NA
"tmax_4kmM2_199209","1992","09",25.3754544691606,NA,NA
"tmax_4kmM2_199210","1992","10",18.7672727758234,NA,NA
"tmax_4kmM2_199211","1992","11",13.383636301214,NA,NA
"tmax_4kmM2_199212","1992","12",7.58636370572177,NA,NA
"tmax_4kmM2_199301","1993","01",8.08818184245716,NA,NA
"tmax_4kmM2_199302","1993","02",6.22363632375544,NA,NA
"tmax_4kmM2_199303","1993","03",9.79636365717108,NA,NA
"tmax_4kmM2_199304","1993","04",18.538181998513,NA,NA
"tmax_4kmM2_199305","1993","05",25.3054546009411,NA,NA
"tmax_4kmM2_199306","1993","06",29.2781819430265,NA,NA
"tmax_4kmM2_199307","1993","07",33.2236366271973,NA,NA
"tmax_4kmM2_199308","1993","08",31.4318181818182,NA,NA
"tmax_4kmM2_199309","1993","09",26.8009093891491,NA,NA
"tmax_4kmM2_199310","1993","10",19.616363698786,NA,NA
"tmax_4kmM2_199311","1993","11",14.4663636467674,NA,NA
"tmax_4kmM2_199312","1993","12",7.08818184245716,NA,NA
"tmax_4kmM2_199401","1994","01",2.09909089045091,NA,NA
"tmax_4kmM2_199402","1994","02",7.10727271166715,NA,NA
"tmax_4kmM2_199403","1994","03",11.960000038147,NA,NA
"tmax_4kmM2_199404","1994","04",22.8500002080744,NA,NA
"tmax_4kmM2_199405","1994","05",23.3463635878129,NA,NA
"tmax_4kmM2_199406","1994","06",31.5981816378507,NA,NA
"tmax_4kmM2_199407","1994","07",32.1309093128551,NA,NA
"tmax_4kmM2_199408","1994","08",29.0663635947488,NA,NA
"tmax_4kmM2_199409","1994","09",26.2927270369096,NA,NA
"tmax_4kmM2_199410","1994","10",20.4500002427535,NA,NA
"tmax_4kmM2_199411","1994","11",17.4354548020796,NA,NA
"tmax_4kmM2_199412","1994","12",11.210000038147,NA,NA
"tmax_4kmM2_199501","1995","01",7.90818175402555,NA,NA
"tmax_4kmM2_199502","1995","02",5.97363632375544,NA,NA
"tmax_4kmM2_199503","1995","03",15.2963636571711,NA,NA
"tmax_4kmM2_199504","1995","04",20.0227274461226,NA,NA
"tmax_4kmM2_199505","1995","05",23.9209090146151,NA,NA
"tmax_4kmM2_199506","1995","06",28.3054547743364,NA,NA
"tmax_4kmM2_199507","1995","07",32.4300003051758,NA,NA
"tmax_4kmM2_199508","1995","08",32.3854545246471,NA,NA
"tmax_4kmM2_199509","1995","09",26.7863636016846,NA,NA
"tmax_4kmM2_199510","1995","10",22.5127272172408,NA,NA
"tmax_4kmM2_199511","1995","11",10.957272789695,NA,NA
"tmax_4kmM2_199512","1995","12",5.63272723284635,NA,NA
"tmax_4kmM2_199601","1996","01",4.85545444488525,NA,NA
"tmax_4kmM2_199602","1996","02",6.598181811246,NA,NA
"tmax_4kmM2_199603","1996","03",10.2845454649492,NA,NA
"tmax_4kmM2_199604","1996","04",19.3563634699041,NA,NA
"tmax_4kmM2_199605","1996","05",22.2745454961603,NA,NA
"tmax_4kmM2_199606","1996","06",29.5881817557595,NA,NA
